noise_std,batch_size,optimizer,epochs_to_solve,best_acc
0.0,465,<class 'sam.SAM'>,,0.819134641225477
0.0,930,<class 'sam.SAM'>,,0.8258532652512766
0.0,1860,<class 'sam.SAM'>,,0.83310937919914
0.0,3721,<class 'sam.SAM'>,,0.8400967481859715
0.5,465,<class 'sam.SAM'>,,0.7715667831228165
0.5,930,<class 'sam.SAM'>,,0.7253426498253158
0.5,1860,<class 'sam.SAM'>,,0.7041117979037893
0.5,3721,<class 'sam.SAM'>,,0.7210427304488041
1.0,465,<class 'sam.SAM'>,,0.5761891964525665
1.0,930,<class 'sam.SAM'>,,0.45740392367643107
1.0,1860,<class 'sam.SAM'>,,0.4901908089223327
1.0,3721,<class 'sam.SAM'>,,0.5014780972856759
2.0,465,<class 'sam.SAM'>,,0.2980381617844665
2.0,930,<class 'sam.SAM'>,,0.30368180596613814
2.0,1860,<class 'sam.SAM'>,,0.25799516259070143
2.0,3721,<class 'sam.SAM'>,,0.3034130610051062
