noise_std,batch_size,optimizer,epochs_to_solve,best_acc,m_sharpness,top_eigen,fisher_rao
0.0,64,<class 'sam.SAM'>,,0.972972972972973,44.58394889398055,1936.01025390625,1506.1159127247192
0.0,128,<class 'sam.SAM'>,,0.9094229364499635,5.034034764224833,688.1452026367188,192.35884118053053
0.0,256,<class 'sam.SAM'>,,0.8553688823959095,5.085893839597702,644.4052734375,140.6420561491939
0.0,512,<class 'sam.SAM'>,,0.8999269539810081,2.3897599334066566,514.870361328125,56.40325900048169
0.0,1024,<class 'sam.SAM'>,,0.8758217677136596,2.0254540497606452,396.0937194824219,47.49348477250151
0.0,1369,<class 'sam.SAM'>,,0.8130021913805697,2.9536931731484155,557.0743408203125,54.62858117532692
0.5,64,<class 'sam.SAM'>,,0.7764791818845873,9.75831514596939,1936.31201171875,503.35437345158005
0.5,128,<class 'sam.SAM'>,,0.6150474799123448,3.7766894806515086,724.3895263671875,139.48792890602377
0.5,256,<class 'sam.SAM'>,,0.5325054784514244,2.371907120401209,417.83709716796875,79.18750277837024
0.5,512,<class 'sam.SAM'>,,0.5646457268078889,1.9081989174539393,298.6888732910156,45.869332393639155
0.5,1024,<class 'sam.SAM'>,,0.5690284879474069,1.9370561892336065,413.73297119140625,44.294807978997845
0.5,1369,<class 'sam.SAM'>,,0.5799853907962016,1.7265268780968406,238.77658081054688,29.743138949516933
1.0,64,<class 'sam.SAM'>,,0.5273922571219869,1.311418503522873,996.0045166015625,39.95847133893022
1.0,128,<class 'sam.SAM'>,,0.3805697589481373,1.4145728241313587,198.33135986328125,91.97605611178798
1.0,256,<class 'sam.SAM'>,,0.3323593864134405,1.921551438895139,432.14337158203125,71.94957111852182
1.0,512,<class 'sam.SAM'>,,0.3476990504017531,1.9171378991820596,267.7508544921875,47.601565294301516
1.0,1024,<class 'sam.SAM'>,,0.34331628926223523,1.8183449073271318,973.8793334960938,47.75768040655759
1.0,1369,<class 'sam.SAM'>,,0.36523009495982467,1.5543940663337708,200.78826904296875,27.993637364254838
2.0,64,<class 'sam.SAM'>,,0.2929145361577794,1.5627670288085938,253.22206115722656,56.03677361602275
2.0,128,<class 'sam.SAM'>,,0.22352081811541272,2.613808889280666,521.2218017578125,108.79776680393896
2.0,256,<class 'sam.SAM'>,,0.19138056975894813,1.3531726869669827,405.6163330078125,44.665175566159995
2.0,512,<class 'sam.SAM'>,,0.197954711468225,1.5821862762624568,178.01287841796875,41.26368183482796
2.0,1024,<class 'sam.SAM'>,,0.18553688823959094,1.8500826304609126,505.5480651855469,50.12050552385653
2.0,1369,<class 'sam.SAM'>,,0.20306793279766253,1.2492549148472873,206.0397186279297,23.435114106856375
